CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2024-01-14 13:50:57.8359241,D:\Windows\prefetch\_INS5176._MP-23834F0A.pf,C:\Users\alish\Desktop\Data\target\D\Windows\prefetch\_INS5176._MP-23834F0A.pf,11238,B5FEDEC2D6D21208B3B38938DA6F8C9D1810315A,False,2002-03-01 15:28:21.9005344,2002-03-01 15:28:21.9506064,2002-03-01 15:28:21.9506064,00:00:00.0035047
2024-01-14 13:50:57.8389395,D:\Windows\prefetch\_WMANSCP.EXE-3519E06A.pf,C:\Users\alish\Desktop\Data\target\D\Windows\prefetch\_WMANSCP.EXE-3519E06A.pf,4694,E5FF074D546021CF8D321010D66FA3EC7C14DA51,False,2002-03-01 15:10:12.7964336,2002-03-01 15:10:12.7964336,2002-03-01 15:10:12.7964336,00:00:00
2024-01-14 13:50:57.8680854,D:\Documents and Settings\Bob Hunter\Recent\0409.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\0409.lnk,657,8B1B84CD0E3F88EEF4642C03BE9D96FE1A437F1B,False,2002-06-04 23:54:07.0744608,2002-06-04 23:54:07.0744608,2002-06-04 23:54:07.0744608,00:00:00
2024-01-14 13:50:57.8861447,D:\Documents and Settings\Bob Hunter\Recent\101-0174_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\101-0174_IMG.JPG.lnk,1029,CFC6038B96A7A9DF0995E5BFFAAC9D14054F4158,False,2002-06-03 22:45:52.2503184,2002-06-03 23:19:57.9118352,2002-06-03 23:19:57.9118352,00:00:00
2024-01-14 13:50:57.9080688,D:\Documents and Settings\Bob Hunter\Recent\101-0184_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\101-0184_IMG.JPG.lnk,1043,FF019BB31F23D38FDEA1B3145E3D53605071300E,False,2002-06-03 23:25:22.8390576,2002-06-03 23:25:22.8490720,2002-06-03 23:25:22.8490720,00:00:00
2024-01-14 13:50:57.9186234,D:\Documents and Settings\Bob Hunter\Recent\102-0214_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\102-0214_IMG.JPG.lnk,871,F41ABDE9CCD02FD0F1A2907B9419C5F62669875F,False,2002-06-03 22:25:19.8682400,2002-06-03 22:25:19.8782544,2002-06-03 22:25:19.8782544,00:00:00
2024-01-14 13:50:57.9342451,D:\Documents and Settings\Bob Hunter\Recent\103-0305_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\103-0305_IMG.JPG.lnk,1029,979965721447B36DF308C8CA6344B7FFEF562EA0,False,2002-06-04 23:45:39.0940208,2002-06-04 23:45:39.1040352,2002-06-04 23:45:39.1040352,00:00:00
2024-01-14 13:50:57.9632487,D:\Documents and Settings\Bob Hunter\Recent\103-0330_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\103-0330_IMG.JPG.lnk,1071,E6CEAAF8251538FC3243DE87D39756BA79760ED0,False,2002-06-03 23:55:43.4669920,2002-06-03 23:55:43.4770064,2002-06-03 23:55:43.4770064,00:00:00.0124623
2024-01-14 13:50:57.9835570,D:\Documents and Settings\Bob Hunter\Recent\103-0356_IMG.JPG.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\103-0356_IMG.JPG.lnk,563,47CF1D126A3111776E1BAA7D71FD9DC20902AF66,False,2002-06-03 21:22:13.6539312,2002-06-03 21:22:13.7140176,2002-06-03 21:22:13.7140176,00:00:00.0012921
2024-01-14 13:50:58.0030036,D:\Documents and Settings\Bob Hunter\Recent\103-0356_IMG.zip.lnk,C:\Users\alish\Desktop\Data\target\D\Documents and Settings\Bob Hunter\Recent\103-0356_IMG.zip.lnk,533,173CFA78EDD027797DF8CA8B513C164D38B1B4C7,False,2002-06-03 21:24:10.7422960,2002-06-03 21:24:10.7923680,2002-06-03 21:24:10.7923680,00:00:00.0041044
